category_main,category_sub,category_id
Computers&Accessories,NetworkingDevices,1
Electronics,GeneralPurposeBatteries&BatteryChargers,2
Computers&Accessories,Accessories&Peripherals,3
Computers&Accessories,ExternalDevices&DataStorage,4
Electronics,"HomeTheater,TV&Video",5
Home&Kitchen,Kitchen&HomeAppliances,6
Electronics,PowerAccessories,7
Home&Kitchen,"Heating,Cooling&AirQuality",8
OfficeProducts,OfficeElectronics,9
Toys&Games,Arts&Crafts,10
OfficeProducts,OfficePaperProducts,11
Home&Kitchen,CraftMaterials,12
Electronics,Cameras&Photography,13
Electronics,"Headphones,Earbuds&Accessories",14
Electronics,Mobiles&Accessories,15
Computers&Accessories,"Printers,Inks&Accessories",16
Home&Kitchen,Kitchen&Dining,17
Home&Kitchen,HomeStorage&Organization,18
Electronics,HomeAudio,19
MusicalInstruments,Microphones,20
Health&PersonalCare,HomeMedicalSupplies&Equipment,21
Electronics,Accessories,22
Computers&Accessories,Components,23
HomeImprovement,Electrical,24
Electronics,WearableTechnology,25
Computers&Accessories,Monitors,26
Car&Motorbike,CarAccessories,27
Computers&Accessories,Tablets,28
Computers&Accessories,Laptops,29
