product_id,actual_price,discounted_price,discount_percentage,rating,rating_count,n_reviewers
B002PD61Y4,1208.0,507.0,0.58,4.1,8131,16
B002SZEOLG,1339.0,749.0,0.44,4.2,179692,8
B003B00484,499.0,399.0,0.2,4.3,27201,8
B003L62T7W,375.0,279.0,0.26,4.3,31534,8
B004IO5BMQ,995.0,699.0,0.3,4.5,54405,8
B005FYNT3G,650.0,289.0,0.56,4.3,253105,8
B005LJQMCK,599.0,416.0,0.31,4.2,30023,8
B005LJQMZC,1999.0,486.0,0.76,4.2,30023,8
B006LW0WDQ,795.0,399.0,0.5,4.4,12091,8
B0073QGKAS,1499.0,1499.0,0.0,4.3,9331,8
B0083T231O,1499.0,1289.0,0.14,4.5,20668,8
B0085IATT6,1800.0,899.0,0.5,4.1,22375,8
B0085W2MUQ,970.0,765.0,0.21,4.2,6055,8
B0088TKTY2,1399.0,649.0,0.54,4.2,179691,8
B008FWZGSG,599.0,599.0,0.0,4.3,355,16
B008IFXQFU,999.0,499.0,0.5,4.2,179691,8
B008LN8KDM,2095.0,1849.0,0.12,4.3,7681,8
B008P7IF02,5795.0,4799.0,0.17,3.9,3815,8
B008QS9J6Y,2595.0,1990.0,0.23,4.3,20398,8
B008QTK47Q,1745.0,1614.0,0.08,4.3,37974,8
B008YW3CYM,1190.0,616.0,0.48,4.1,37126,8
B008YW8M0G,875.0,775.0,0.11,4.2,46647,8
B00935MD1C,3945.0,2719.0,0.31,3.7,13406,8
B00935MGHS,1795.0,1199.0,0.33,4.2,5967,8
B009DA69W6,1900.0,1699.0,0.11,3.6,11456,8
B009LJ2BXA,999.0,649.0,0.35,3.5,7222,8
B009P2L7CO,1920.0,1099.0,0.43,4.2,9772,8
B009P2LIL4,3080.0,2219.0,0.28,3.6,468,8
B009P2LITG,3279.0,2169.0,0.34,4.1,1716,8
B009P2LK08,1129.0,749.0,0.34,4.0,2446,8
B009P2LK80,1639.0,1409.0,0.14,3.7,787,8
B009UORDX4,975.0,949.0,0.03,4.3,7223,8
B009VCGPSY,649.0,269.0,0.59,4.3,54315,8
B00A0VCJPI,2499.0,1469.0,0.41,4.2,156638,8
B00A328ENA,3945.0,2976.0,0.25,4.2,3740,8
B00A7PLVU6,899.0,753.0,0.16,4.2,18462,8
B00ABMASXG,720.0,539.0,0.25,4.1,36017,8
B00AXHBBXU,550.0,522.0,0.05,4.4,12179,8
B00B3VFJY2,980.0,980.0,0.0,4.2,4740,8
B00B7GKXMG,850.0,699.0,0.18,4.1,1106,8
B00BN5SNF0,250.0,250.0,0.0,3.9,13971,8
B00C3GBCIS,499.0,249.0,0.5,4.2,22860,8
B00CEQEGPI,2295.0,1345.0,0.41,4.2,17413,8
B00DJ5N9VK,150.0,150.0,0.0,4.3,15867,8
B00E3DVQFS,1109.0,879.0,0.21,4.4,31599,8
B00E9G8KOY,600.0,600.0,0.0,4.1,10907,8
B00EDJJ7FS,5295.0,3229.0,0.39,4.2,39724,8
B00EYW1U68,3599.0,1599.0,0.56,4.2,16182,8
B00F159RIK,625.0,499.0,0.2,4.2,5355,8
B00GE55L22,699.0,299.0,0.57,4.1,2957,8
B00GG59HU2,599.0,467.0,0.22,4.4,44054,8
B00GGGOYEK,699.0,259.0,0.63,3.8,2399,8
B00GGGOYEU,699.0,299.0,0.57,3.9,1454,8
B00GHL8VP2,4990.0,3487.77,0.3,4.1,1127,8
B00GZLB57U,699.0,238.0,0.66,4.4,8372,8
B00H0B29DI,2990.0,2199.0,0.26,3.8,1558,8
B00H3H03Q4,1130.0,1130.0,0.0,4.2,13250,8
B00H47GVGY,1695.0,1199.0,0.29,3.6,13300,8
B00HVXS7WC,3210.0,1999.0,0.38,4.2,41349,8
B00HZIOGXW,825.0,610.0,0.26,4.1,13165,8
B00J4YG0PC,720.0,561.0,0.22,4.4,3182,8
B00J5DYCCA,1890.0,1399.0,0.26,4.0,8031,8
B00JBNZPFM,10999.0,6199.0,0.44,4.2,10429,8
B00K32PEW4,535.0,535.0,0.0,4.4,4426,8
B00K57MR22,8478.0,6120.0,0.28,4.6,6550,8
B00KIDSU8S,2360.0,1999.0,0.15,4.2,7801,8
B00KIE28X0,310.0,310.0,0.0,4.5,5882,8
B00KRCBA6E,5000.0,2499.0,0.5,3.8,1889,8
B00KXULGJQ,5499.0,1889.0,0.66,4.2,49551,8
B00LHZW3XY,180.0,125.0,0.31,4.4,8053,8
B00LHZWD0C,315.0,252.0,0.2,4.5,3785,8
B00LM4W1N2,600.0,480.0,0.2,4.3,5719,8
B00LM4X0KU,100.0,100.0,0.0,4.3,3095,8
B00LM4X3XE,100.0,90.0,0.1,4.3,3061,8
B00LOD70SC,210.0,178.0,0.15,4.3,2450,8
B00LP9RFSU,825.0,825.0,0.0,4.0,3246,8
B00LUGTJGO,1549.0,1399.0,0.1,3.9,2602,8
B00LVMTA2A,250.0,225.0,0.1,4.4,26556,8
B00LXTFMRS,225.0,191.0,0.15,4.4,7203,8
B00LY12TH6,230.0,230.0,0.0,4.5,9427,8
B00LY17RHI,225.0,225.0,0.0,4.1,4798,8
B00LY1FN1K,230.0,200.0,0.13,4.4,10170,8
B00LZLPYHW,160.0,137.0,0.14,4.4,6537,8
B00LZLQ624,160.0,157.0,0.02,4.5,8618,8
B00LZPQVMK,320.0,272.0,0.15,4.0,3686,8
B00MFPCY5C,299.0,39.0,0.87,3.5,15233,8
B00MUTWLW4,3295.0,2595.0,0.21,4.4,22618,8
B00N1U7JXM,175.0,90.0,0.49,4.4,7429,8
B00N1U9AJS,165.0,130.0,0.21,3.9,14778,8
B00N3XLDW0,400.0,299.0,0.25,3.8,40895,8
B00NFD0ETQ,2895.0,1995.0,0.31,4.6,10760,8
B00NH11KIK,695.0,209.0,0.7,4.5,107687,16
B00NH11PEY,750.0,199.0,0.73,4.5,74976,16
B00NH12R1O,485.0,299.0,0.38,4.3,10911,8
B00NH13Q8W,800.0,299.0,0.63,4.5,74977,8
B00NM6MO26,3945.0,2698.0,0.32,4.0,15034,8
B00NNQMYNE,499.0,299.0,0.4,4.5,21010,8
B00NW4UWN6,1345.0,1043.0,0.22,3.8,15592,8
B00O24PUO6,1650.0,1464.0,0.11,4.1,14120,8
B00O2R38C4,1490.0,999.0,0.33,4.1,12999,8
B00OFM6PEO,799.0,299.0,0.63,4.3,1902,8
B00P0R95EA,640.0,510.0,0.2,4.1,7229,8
B00P93X0VO,120.0,114.0,0.05,4.2,8938,8
B00P93X2H6,75.0,67.0,0.11,4.1,1269,8
B00P93X6EK,160.0,157.0,0.02,4.5,4428,8
B00PVT30YI,499.0,292.0,0.41,4.1,4238,8
B00R1P3B4O,549.0,549.0,0.0,4.5,4875,8
B00RFWNJMC,499.0,195.0,0.61,3.7,1383,8
B00RGLI0ZS,599.0,449.0,0.25,4.0,3231,8
B00S2SEV7K,100.0,90.0,0.1,4.1,6199,8
B00S9BSJC8,8995.0,6499.0,0.28,4.3,2810,8
B00SH18114,299.0,160.0,0.46,4.6,2781,8
B00SMFPJG0,670.0,649.0,0.03,4.1,7786,8
B00SMJPA9C,940.0,499.0,0.47,4.1,3036,8
B00TDD0YM4,1695.0,1490.0,0.12,4.4,3543,8
B00TI8E7BI,2695.0,2695.0,0.0,4.4,2518,8
B00UGZWM2I,800.0,198.0,0.75,4.1,9344,8
B00URH5E34,39.0,39.0,0.0,3.6,13572,8
B00V4BGDKU,1899.0,1099.0,0.42,4.5,22420,8
B00V9NHDI4,3799.0,2799.0,0.26,3.9,32931,8
B00VA7YYUO,99.0,99.0,0.0,4.3,5036,8
B00W56GLOQ,5000.0,2699.0,0.46,4.0,26164,8
B00Y4ORQ46,795.0,745.0,0.06,4.0,13797,8
B00YMJ0OI8,3645.0,2148.0,0.41,4.1,31388,8
B00YQLG7GK,1695.0,1695.0,0.0,4.2,14290,8
B00ZRBWPA0,180.0,159.0,0.12,4.3,989,8
B00ZYLMQH0,1799.0,549.0,0.69,4.3,28829,8
B0116MIKKC,171.0,99.0,0.42,4.5,11339,8
B0117H7GZ6,399.0,249.0,0.38,3.4,4642,8
B0123P3PWE,1075.0,999.0,0.07,4.1,9275,8
B012ELCYUG,635.0,635.0,0.0,4.3,4570,8
B012MQS060,1795.0,1295.0,0.28,4.1,25771,8
B013B2WGT6,1899.0,1099.0,0.42,4.3,15276,8
B0141EZMAI,800.0,269.0,0.66,3.6,10134,16
B01486F4G6,3690.0,2863.0,0.22,4.3,6987,8
B0148NPH9I,3195.0,2640.0,0.17,4.5,16146,8
