discount_q,rating_band,outlier_rate,n
Q1_low,<=3.5,0.0,6
Q1_low,3.5-4.0,0.14772727272727273,88
Q1_low,4.0-4.5,0.05622489959839357,249
Q1_low,4.5-5.0,0.16666666666666666,6
Q2,<=3.5,0.07142857142857142,14
Q2,3.5-4.0,0.19327731092436976,119
Q2,4.0-4.5,0.08955223880597014,201
Q2,4.5-5.0,0.0,5
Q3,<=3.5,0.045454545454545456,22
Q3,3.5-4.0,0.0380952380952381,105
Q3,4.0-4.5,0.031413612565445025,191
Q3,4.5-5.0,0.0,9
Q4_high,<=3.5,0.16,25
Q4_high,3.5-4.0,0.06666666666666667,120
Q4_high,4.0-4.5,0.038461538461538464,182
Q4_high,4.5-5.0,0.25,8
