product_id,predicted_stars,prediction_confidence,topic
B002PD61Y4,4,0.47846028208732605,17
B002SZEOLG,4,0.8846772909164429,18
B003B00484,4,0.5660398602485657,0
B003L62T7W,4,0.6173401474952698,6
B004IO5BMQ,3,0.3867321312427521,6
B005FYNT3G,5,0.5185285210609436,11
B005LJQMCK,5,0.6045331954956055,3
B005LJQMZC,5,0.6045331954956055,3
B006LW0WDQ,4,0.3799966871738434,-1
B0073QGKAS,4,0.5375879406929016,2
B0083T231O,4,0.46337369084358215,0
B0085IATT6,4,0.5696138143539429,18
B0085W2MUQ,4,0.6523731350898743,4
B0088TKTY2,4,0.8846772909164429,18
B008FWZGSG,3,0.31557321548461914,0
B008IFXQFU,4,0.8846772909164429,18
B008LN8KDM,3,0.5022431015968323,16
B008P7IF02,4,0.4376057982444763,23
B008QS9J6Y,4,0.5736582279205322,17
B008QTK47Q,2,0.428483784198761,16
B008YW3CYM,3,0.4959730803966522,16
B008YW8M0G,4,0.6282097697257996,16
B00935MD1C,4,0.4376772940158844,2
B00935MGHS,3,0.5852453112602234,2
B009DA69W6,4,0.6286660432815552,22
B009LJ2BXA,3,0.54849773645401,1
B009P2L7CO,4,0.5747523307800293,13
B009P2LIL4,3,0.39843764901161194,10
B009P2LITG,4,0.6068509221076965,10
B009P2LK08,3,0.4250311255455017,-1
B009P2LK80,3,0.4763478636741638,10
B009UORDX4,4,0.5723282098770142,16
B009VCGPSY,4,0.6034812331199646,6
B00A0VCJPI,3,0.579832136631012,18
B00A328ENA,5,0.6946133971214294,2
B00A7PLVU6,4,0.6746010780334473,4
B00ABMASXG,4,0.87954181432724,-1
B00AXHBBXU,4,0.5826813578605652,13
B00B3VFJY2,4,0.4882422983646393,-1
B00B7GKXMG,5,0.46359962224960327,13
B00BN5SNF0,2,0.4524901509284973,0
B00C3GBCIS,4,0.6031136512756348,8
B00CEQEGPI,4,0.5493725538253784,6
B00DJ5N9VK,4,0.4319421648979187,12
B00E3DVQFS,3,0.35989511013031006,0
B00E9G8KOY,2,0.45540598034858704,22
B00EDJJ7FS,3,0.6111611723899841,2
B00EYW1U68,4,0.6244444847106934,18
B00F159RIK,3,0.5564756989479065,16
B00GE55L22,4,0.5974041223526001,11
B00GG59HU2,5,0.4912451207637787,3
B00GGGOYEK,4,0.4770875871181488,0
B00GGGOYEU,3,0.5579065680503845,0
B00GHL8VP2,4,0.6761149168014526,10
B00GZLB57U,4,0.9828267097473145,0
B00H0B29DI,3,0.31719446182250977,10
B00H3H03Q4,4,0.5208805799484253,-1
B00H47GVGY,4,0.7481141090393066,10
B00HVXS7WC,3,0.368898868560791,4
B00HZIOGXW,4,0.6136574149131775,10
B00J4YG0PC,4,0.4875335097312927,12
B00J5DYCCA,4,0.49713805317878723,-1
B00JBNZPFM,3,0.5201542973518372,14
B00K32PEW4,5,0.786389946937561,13
B00K57MR22,5,0.5049567222595215,4
B00KIDSU8S,4,0.6309341788291931,14
B00KIE28X0,5,0.4256156086921692,12
B00KRCBA6E,1,0.3987656533718109,10
B00KXULGJQ,4,0.6987513899803162,18
B00LHZW3XY,4,0.6533138155937195,12
B00LHZWD0C,4,0.8322560787200928,12
B00LM4W1N2,4,0.517719030380249,12
B00LM4X0KU,4,0.5509932041168213,12
B00LM4X3XE,5,0.6570298075675964,12
B00LOD70SC,4,0.6561264395713806,12
B00LP9RFSU,2,0.5306006073951721,22
B00LUGTJGO,2,0.4125727117061615,10
B00LVMTA2A,5,0.7828651070594788,-1
B00LXTFMRS,5,0.6421499848365784,12
B00LY12TH6,5,0.5708245635032654,12
B00LY17RHI,3,0.45024242997169495,12
B00LY1FN1K,5,0.6262098550796509,13
B00LZLPYHW,4,0.720037579536438,12
B00LZLQ624,4,0.9129602909088135,12
B00LZPQVMK,3,0.48191115260124207,12
B00MFPCY5C,3,0.4953625500202179,-1
B00MUTWLW4,4,0.6725954413414001,6
B00N1U7JXM,3,0.5227430462837219,-1
B00N1U9AJS,4,0.6262592077255249,-1
B00N3XLDW0,2,0.445760577917099,0
B00NFD0ETQ,3,0.2805343270301819,6
B00NH11KIK,5,0.4918143153190613,0
B00NH11PEY,4,0.5258748531341553,0
B00NH12R1O,5,0.8748273253440857,11
B00NH13Q8W,4,0.5917170643806458,0
B00NM6MO26,3,0.4364754557609558,2
B00NNQMYNE,5,0.769985020160675,8
B00NW4UWN6,3,0.5462180376052856,2
B00O24PUO6,3,0.5193254947662354,10
B00O2R38C4,3,0.5084843039512634,14
B00OFM6PEO,4,0.5938265323638916,0
B00P0R95EA,5,0.6403390765190125,10
B00P93X0VO,4,0.7537150979042053,12
B00P93X2H6,3,0.6606553196907043,12
B00P93X6EK,3,0.41742998361587524,12
B00PVT30YI,4,0.717545211315155,-1
B00R1P3B4O,4,0.3631224036216736,17
B00RFWNJMC,2,0.43233102560043335,7
B00RGLI0ZS,4,0.4915368854999542,0
B00S2SEV7K,4,0.9410707950592041,12
B00S9BSJC8,5,0.4919111430644989,4
B00SH18114,4,0.9815343618392944,24
B00SMFPJG0,5,0.5641134977340698,-1
B00SMJPA9C,2,0.24649548530578613,16
B00TDD0YM4,3,0.5957252383232117,14
B00TI8E7BI,4,0.6396490931510925,2
B00UGZWM2I,5,0.5362582802772522,-1
B00URH5E34,3,0.552334725856781,0
B00V4BGDKU,3,0.4364626109600067,-1
B00V9NHDI4,4,0.760825514793396,14
B00VA7YYUO,5,0.4233856201171875,12
B00W56GLOQ,3,0.5572848916053772,4
B00Y4ORQ46,3,0.6230491399765015,1
B00YMJ0OI8,4,0.5454734563827515,2
B00YQLG7GK,4,0.47074881196022034,4
B00ZRBWPA0,5,0.6452740430831909,-1
B00ZYLMQH0,4,0.5867975354194641,6
B0116MIKKC,5,0.5809281468391418,0
B0117H7GZ6,1,0.5853460431098938,-1
B0123P3PWE,3,0.46212154626846313,-1
B012ELCYUG,4,0.6457375288009644,4
B012MQS060,3,0.469408243894577,6
B013B2WGT6,4,0.7221921682357788,13
B0141EZMAI,3,0.36993902921676636,18
B01486F4G6,4,0.4537893235683441,2
B0148NPH9I,4,0.5039039850234985,6
B014HDJ7ZE,2,0.40774214267730713,15
B014I8SSD0,4,0.5173609852790833,21
B014I8SX4Y,4,0.5173609852790833,21
B014SZO90Y,5,0.682088315486908,-1
B014SZPBM4,5,0.6902111172676086,0
B015GX9Y0W,4,0.469862163066864,2
B015OW3M1W,4,0.5219287276268005,21
B015ZXUDD0,4,0.6339958310127258,0
